split,row,idx,word,label,glove_target,glove_context_2,glove_context_5,bert_layer_1,bert_layer_2,bert_layer_3,bert_layer_4,bert_layer_5,bert_layer_6,bert_layer_7,bert_layer_8,bert_layer_9,bert_layer_10,bert_layer_11,bert_layer_12,bert_mean_last_four
train,0,62,reach,False,1.0,0.48033146035885466,0.48033146035885466,0.6462946578224075,0.6537593653844488,0.6710743582876773,0.7014511033685507,0.6507107781294188,0.6229403247180245,0.6125685774691855,0.5804159192261394,0.6082588095416174,0.55170445839662,0.5441043288938967,0.41796809328393325,0.5523573730548501
train,1,144,light,True,1.0,0.6788642839633675,0.7901454994730555,0.8695518063253331,0.8342634149663384,0.7450904037796271,0.6722675180449313,0.6026923751278557,0.5097452950459699,0.5072112704647871,0.4703605645205743,0.46168594261221274,0.45430252846095787,0.5144533974948007,0.5558537737218833,0.494879525908108
train,2,264,light,False,1.0,0.7848117489730302,0.6727480029956705,0.9065878082665135,0.8212543473064441,0.8174147075202376,0.7379415159411347,0.7324666534938653,0.6496029347265002,0.5871680706881672,0.5231715584667989,0.45242315101566477,0.4254183851657848,0.486216755934324,0.4662289217791501,0.4619186064993741
train,3,341,job,True,1.0,0.5510758026453144,0.6308718774841581,0.8357478247905217,0.790710902937185,0.7077164605429171,0.6632047584656043,0.6555799350171386,0.6455271167109977,0.6112135159245523,0.612641237465823,0.5303593275805631,0.5733839130425644,0.6116313377973251,0.5428688590347941,0.5838122320128347
train,4,357,cup,False,1.0,0.48963341314608233,0.6372068554657878,0.8119420041888638,0.78959802672284,0.7059000439652022,0.6740964126549117,0.6481667486468697,0.6012279866422747,0.5752123632286877,0.5783411695721252,0.5764582212007674,0.5699417249921218,0.5789794739870916,0.5024807348871663,0.5756278999858527
train,5,471,connection,False,1.0,0.6905482512835869,0.6636520122038037,0.8880494427504493,0.8486580562707233,0.8546803941319137,0.8575621754871229,0.8599024647268906,0.8411039348115599,0.8291039843289693,0.8003067048338507,0.7505707110322183,0.690704079954904,0.6845815546240823,0.6532755588768329,0.7141707435823264
train,6,490,trump,True,1.0,0.40441541896112854,0.4444801763824405,0.633825662061157,0.6514061615359718,0.6098203517475616,0.6136629101093733,0.6301257022984882,0.617486809988098,0.615748851960648,0.6157722707558267,0.6153129963613776,0.6409709223985873,0.6931268975662936,0.6735672411296432,0.6711515422171318
train,7,509,work,True,1.0,0.4332556184088623,0.6773233549211736,0.9312887386633779,0.921618588614247,0.901856792989569,0.9010570119876209,0.9071805876171911,0.91792114547622,0.9276984525897107,0.8879821827145923,0.8254177933574327,0.7891567282025749,0.8196060750296179,0.8104628983742984,0.8239897385581373
train,8,723,product,False,1.0,0.6794674703956523,0.667751803009703,0.8584459078594857,0.8100416589023663,0.7753303258162779,0.7756559283873894,0.7879517002121562,0.7779275455857133,0.7845837573871977,0.7555801051553024,0.6759155770704112,0.5988517923992905,0.5999594105889093,0.5578878731275583,0.6285972506028833
train,9,771,line,True,1.0,0.6817878382094211,0.6991326315696805,0.8834982743304215,0.7715592566091104,0.6939656787042301,0.6071875748421339,0.5702931982420157,0.49823028429393235,0.442759433814704,0.4019781151143068,0.36863198029589817,0.32194851502875144,0.33650652277209986,0.33239482736565906,0.3497245080570482
train,10,781,be,True,1.0,0.565572368726238,0.7598373197494432,0.4733169203233618,0.5355198618536609,0.528508157845173,0.545607692566407,0.5942925609559544,0.4836124150531266,0.46401093764180196,0.3944563355103896,0.3738866382841578,0.4097497457380384,0.4710022738402907,0.35130598710872285,0.4199191424519764
train,11,819,slot,True,1.0,0.7661583528734451,0.8089028662097323,0.9011928866785959,0.8408675236243757,0.8217075263332233,0.8224793694611827,0.8182496646180968,0.8411059419706624,0.8285280493201148,0.8268832055094006,0.7581850394414271,0.7212902142741262,0.7325875246124101,0.6846827691163735,0.7452080525469934
train,12,833,voice,False,1.0,0.5803747737356764,0.7410068622692544,0.9093242238031373,0.8901433265953387,0.8920971970041958,0.8399228744273187,0.7788002353180787,0.7770191639031456,0.7562594961113304,0.7714799269985106,0.7516300343429775,0.6755353818366845,0.6791349684611794,0.596590551934617,0.701402111144944
train,13,894,roll,False,1.0,0.2496375257662737,0.32588872255424184,0.5313471455098059,0.5624914348673228,0.5671269683822806,0.47770138414331725,0.4859013704359375,0.4950964466602459,0.5082560151550817,0.5078541482851557,0.472801059447651,0.4626237707627853,0.45964665291391155,0.3397921434701251,0.4625910202185036
train,14,905,play,False,1.0,0.20382974168976567,0.19505136240049945,0.7823815634885913,0.7230103573829402,0.6187248999945627,0.572537194923104,0.5922471004694893,0.5756849359211466,0.6269702542895618,0.6226932225125034,0.5609788817673611,0.5184887392846927,0.5907316155634897,0.7044776745866443,0.5756939929285841
train,15,943,pay,False,1.0,0.4825277078548498,0.4825277078548498,0.7776972095462957,0.7308578616279042,0.6616742366069314,0.6099528561107181,0.6336353951261049,0.6317305268842875,0.629084356869835,0.6199067294078505,0.5844946065542851,0.5743777115177484,0.5970586305648975,0.5025766789879527,0.5886635661935328
train,16,1085,make,True,1.0,0.7384928664021113,0.8244466441522603,0.9089345847760762,0.8954685676987247,0.85020620740677,0.7554744092617607,0.6778633720056629,0.6176566842779933,0.48638611631033796,0.4308617849280032,0.33168074276527076,0.3576057836128196,0.4545180114617073,0.5254983870665584,0.40975057382663316
train,17,1104,movement,False,1.0,0.2970663779007793,0.4860005722051269,0.7776473015613863,0.7921648493864534,0.7240705975501394,0.6496959044066006,0.6650131794499609,0.6477045960985869,0.617244584134336,0.5961861999353828,0.5453947064669942,0.5670447130939631,0.6313028066170735,0.5543645451831475,0.590495945691675
train,18,1141,grace,False,1.0,0.6333571598741836,0.7348602343218779,0.8829929418541475,0.8131678218550589,0.7687045976584844,0.6930991783965869,0.6184532936160629,0.6021858366424685,0.5865824559781309,0.5601750324668748,0.5057830836089923,0.52565878635559,0.5764616251779433,0.5141256784557229,0.5578151888550876
train,19,1212,charge,False,1.0,0.5116043357868834,0.6420611995762011,0.5103888050981853,0.46247667472857534,0.530345231225697,0.48721628070246054,0.4609083252882393,0.44976963139826626,0.4566962812253116,0.40822895333665515,0.3728872585187195,0.40176884590271067,0.46429061485681267,0.34679096090518186,0.4108834374601843
train,20,1224,time,True,1.0,0.7885164226512514,0.680261088641309,0.7853474322184708,0.73027319445903,0.6667735657591316,0.6343874679282747,0.6913124244415176,0.606312894475018,0.5819859615935085,0.6478530099596388,0.6504649318982305,0.6605454537424096,0.6884363435159141,0.6969168201389496,0.6929586012108301
train,21,1302,leave,False,1.0,0.5569445985882467,0.6967005779922573,0.6570137894958544,0.6907007379935074,0.6820840234131376,0.6692289866721547,0.6673356207340212,0.636720353384512,0.5735123405195227,0.5448831182008366,0.5085451112671671,0.5022242239208635,0.5267292103921605,0.48115616827952606,0.5099318307208444
